"CAMION_MEDIANO","CAMION MEDIANO"
"MOTOSOLDADOR","MOTOSOLDADOR"
"SUV","SUV"
"REGLETA","REGLETA"
"CABLEPOTAISLADO","CABLE DE POTENCIA AISLADO"
"TRAFOPOTE","TRANSFORMADOR DE POTENCIAL"
"HIDRANTE","HIDRANTE"
"TRAMPA","TRAMPA"
"CONDUCT","CONDUCTOR"
"VAL_NGV","VALVULA NGV"
"VAL_EXFL","VALVULA EXCESO DE FLUJO"
"COMPUERTA","COMPUERTA"
"SUICHE","SUICHE"
"MONITOR","MONITOR DE TENSIÓN"
"CILINDRO","CILINDRO"
"EDREGULA","DESCOMPRESORA REGULADORES DE ALTA PRESIÓN"
"RED.SEC","RED SECUNDARIA"
"CUCHILL","CUCHILLAS"
"REGULADO","REGULADOR ENERGIA T&D"
"VALBRAW",""
"VALVANTI","VALVULA DE ANTIRRETORNO"
"TRSF.LAB","TRANSFORMADOR (LABORATORIO)"
"VALVULA","DANO DE VALVULAS"
"CONTGEN","CONTROL E INSTRUMENTACION GENERICO"
"VALVVENT","VALVULA DE ADM. Y EXP. DE AIRE"
"MANGUERA","MANGUERA"
"EDINSTRM","DESCOMPRESORA INSTRUMENTACION MEDIDOR"
"REGU TENS","REGULADOR DE TENSION"
"TUBGRES","TUBERIA GRES VITRIFICADO"
"SERVOMDEFLEC","SERVOMOTORDEFLECTOR"
"VIBRAC","VIBRACIONES GENERADAS POR EL BALASTO"
"TABLEROCONTROL","TABLERO DE CONTROL"
"LUMENV","LUMINARIA ENVEJECIDA"
"OBSTARB","OBSTRUCCION POR RAMAS O FOLLAJE DE ARBOLES"
"LUMVIR","LUMINARIA VIRADA"
"LUMAFLO","AFLOJAMIENTO"
"RAMARB","CAIDA DE ARBOL/RAMA"
"BOMFLO","BOMBILLA FLOJA O DESAJUSTADA"
"FOTFLJ","FOTOCELDA FLOJA"
"FLLCONEX","CONEXION FLOJA O INCORRECTA"
"AUSFOT","AUSENCIA DE FOTOCELDA"
"DETENIDO","MEDIDOR DETENIDO"
"CONEXPT","CONEXIÓN IHADECUADA DE PUESTA A TIERRA"
"CIRCUITO","CIRCUITO FUERA DE SERVICIO"
"BUSETA","BUSETA"
"MOTONIVELADORA","MOTONIVELADORA"
"REGULADOR","REGULADOR AUTOMÁTICO DE TENSIÓN"
"GRUA_TELESC","GRUA TELESCOPICA SOBRE CAMION"
"SUMIDEROS","SUMIDEROS"
"MOPED","MOOPED"
"DESHUMIFICADOR","DESHUMIFICADOR"
"TRANSFER","TRANSFERENCIA"
"SEG_TUNEL","SEGMENTO TUNEL"
"ACERO","TUBERIA DE ACERO CARBONO"
"VAL_CHK","VALVULA CHECK"
"ELECTGEN","ELECTRICOS GENERICO"
"AISLAD","AISLADORES"
"ALIVCAJSOBRE","ALIVIADERO CAJA DE SOBREFLUJO"
"CAPACIT","CAPACITOR"
"ALIVSEPARCAU","ALIVIADERO ESTRUCTURA SEPARACION DE CAUDAL"
"TUBFIVID","TUBERIA FIBRA DE VIDRIO"
"CONVERPRP","CONVERSOR PRP"
"DUCTO","DUCTO"
"PEVALVUL","VALVULAS POLIETILENO"
"TUBHG","TUBERIA DE HIERRO GALVANIZADO"
"SENS.TEN","SENSORES DE TENSION"
"EDINSTRCAL","DESCOMPRESORA INSTRUMENT. SISTEMA DE CALENTAMIENTO"
"INTERSF6H","INTERRUPTOR CON MEDIO DE EXTINCION SF6-HIDRAULICO"
"TRAFOCORPOT","TRANSFORMADOR  CORRIENTE - POTENCIAL"
"INFRGEN","INFRAESTRUCTURA GENERICO"
"ALIVVERTRANS","ALIVIADERO VERTEDERO TRANSVERSAL"
"DESCOLES","DESCOLES"
"OC_EDS","OBRA CIVIL EDS"
"BATERIAS","BATERIAS"
"REFR ACEITCOJI","REFRIGERACION DE ACEITE DEL COJINETE GUIA"
"ROTOR GEN","ROTOR GENERADOR"
"UPS","UPS"
"CAMARAS","CAMARA DE INSPECCION"
"PUENTEGRUA","PUENTGRUA"
"CIRCUITOAL","CIRCUITO FUERA DE SERVICIO"
"BRASUEL","BRAZO SUELTO"
"BOMROT","BOMBILLA ROTA"
"FLLTIER","CAIDA DE VOLTAJE"
"CAIDVOL","CAIDA DE VOLTAJE"
"VOLTALT","TENSION DE ALIMENTACION POR ENCIMA DEL RANGO ± 5%"
"DEFLECTORTURB",""
"MICROBUS","MICROBUS"
"PRESIONSUCCION","PRESION SUCCION"
"ESTIBADOR","ESTIBADOR"
"CANASTA_TELART","CANASTA TELESCOPICA ARTICULADA SOBRE CAMION"
"CV_ELECTRICO",""
"COMINTER","COMPRESOR INTERCAMBIADORES DE CALOR"
"RED.PRI","RED PRIMARIA (CONDUCTOR Y ACCESORIOS)"
"UNID.AIS","JUNTA MONOLITICA"
"ANODOS","CAMARA DE ANODOS"
"CARGADOR","CARGADOR"
"VAL.SLAM","VALVULAS SLAM"
"BOBINAS","BOBINAS"
"MACROMED","MACROMEDIDOR"
"LUBFORZ","LUBRICACION FORZADA"
"TRAFOPOT","TRANSFORMADOR DE POTENCIA"
"EDINSTRC","DESCOMPRESORA INSTRUMENTACION CONTROL"
"TUBPVC","TUBERIA PVC"
"SEG_CANAL","SEGMENTO CANAL"
"MODEM","MODEM"
"REGULAD","REGULADOR"
"VALVCOMP","VALVULA DE COMPUERTA"
"TUBPEBD","TUBERIA DE PE DE BAJA DENSIDAD"
"REGU HIDRAU","REGULADOR HIDRAULICO"
"ROUTER","ROUTER"
"RTU","UNIDAD TERMINAL REMOTA"
"SERVIDOR","SERVIDOR"
"SOFTWARE","CONJUNTO DE PROGRAMAS Y RUTINAS"
"SW","SWITCH DE COMUNICACION"
"MOTOREDU","MOTORREDUCTOR"
"LUMDER","LUMINARIA DERRIBADA"
"NOENC","LUMINARIA NO ENCIENDE"
"FLLBASE","BASE FOTOCELDA DEFECTUOSA O DANADA"
"BALDEF","BALASTO DEFECTUOSO"
"FLLAIS","FALLA DE AISLAMIENTO"
"CONTRAP","CONTROL"
"CAMIONETAPANEL","CAMIONETA PANEL"
"TODO_TERRENO","TODO TERRENO AT"
"GRUA_ARTIC","GRUA ARTICULADA SOBRE CAMION"
"CAMPERO","CAMPERO"
"VOLQUETA","VOLQUETA"
"CAMION_TANQUE","CAMION TANQUE"
"CORTADORA","CORTADORA DE RAMAS"
"MOTOR_BOTE","MOTOR PARA BOTES"
"CAMION_PESADO","CAMION PESADO"
"TABLERODC",""
"BAHIACOMP","BAHIA COMPACTA"
"TUBOASPIRACION","TUBO DE ASPIRACION TURBINA"
"GPS","SISTEMA DE SINCRONISMO DE TIEMPO"
